"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"New Orleans, LA","New Orleans",23,25,114,116,250,959,218,2017,1,"LA",278,1427,"New Orleans","https://data.nola.gov/Public-Safety-and-Preparedness/Electronic-Police-Report-2024/c5iy-ew8n/explore/query/SELECT%0A%20%20%60item_number%60%2C%0A%20%20%60district%60%2C%0A%20%20%60location%60%2C%0A%20%20%60disposition%60%2C%0A%20%20%60signal_type%60%2C%0A%20%20%60signal_description%60%2C%0A%20%20%60occurred_date_time%60%2C%0A%20%20%60charge_code%60%2C%0A%20%20%60charge_description%60%2C%0A%20%20%60offender_number%60%2C%0A%20%20%60offenderid%60%2C%0A%20%20%60offenderstatus%60%2C%0A%20%20%60offender_race%60%2C%0A%20%20%60offender_gender%60%2C%0A%20%20%60offender_age%60%2C%0A%20%20%60victim_number%60%2C%0A%20%20%60persontype%60%2C%0A%20%20%60victim_race%60%2C%0A%20%20%60victim_gender%60%2C%0A%20%20%60victim_age%60%2C%0A%20%20%60victim_fatal_status%60%2C%0A%20%20%60hate_crime%60%2C%0A%20%20%60report_type%60/page/filter","Agency RMS","Open Source",370128,364197,NA,NA,"","New Orleans","LA","South","West South Central",364197
"New York City, NY","New York City",24,112,1246,1646,1097,3580,462,2017,1,"NY",3028,5139,"New York City","https://compstat.nypdonline.org/","Agency Aggregated","Open Source",8236567,8184044,NA,NA,"","New York","NY","Northeast","Middle Atlantic",8184044
"Newark, OH","Newark",0,2,6,0,23,94,15,2023,1,"OH",8,132,"Newark","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",50818,51147,NA,NA,"","Newark","OH","Midwest","East North Central",51147
"Newport News, VA","Newport News",4,5,12,55,51,322,24,2017,4,"VA",76,397,"Newport News","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",183903,183600,NA,NA,"","Newport News","VA","South","South Atlantic",183600
"Norfolk, VA","Norfolk",1,9,30,63,108,516,48,2017,2,"VA",103,672,"Norfolk","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",233419,230849,NA,NA,"","Norfolk","VA","South","South Atlantic",230849
"Normal, IL","Normal",0,4,0,12,5,51,2,2023,3,"IL",16,58,"Normal","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53613,52883,NA,NA,"","Normal","IL","Midwest","East North Central",52883
"North Bergen Township, NJ","North Bergen Township",0,0,3,5,6,27,3,2017,1,"NJ",8,36,"North Bergen Township","http://www.northbergenpolice.com/report/datasets/crime-statistics/","Agency Aggregated","Open Source",58378,59147,NA,NA,"","North Bergen Township","NJ","Northeast","Middle Atlantic",59147
"North Las Vegas, NV","North Las Vegas",4,8,25,41,101,198,144,2022,2,"NV",78,443,"North Las Vegas","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",284422,290751,NA,NA,"","North Las Vegas","NV","West","Mountain",290751
"North Richland Hills, TX","North Richland Hills",0,3,4,5,18,96,14,2017,1,"TX",12,128,"North Richland Hills","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",70108,70853,NA,NA,"","North Richland Hills","TX","South","West South Central",70853
"Norwalk, CT","Norwalk",1,2,4,18,12,116,15,2017,5,"CT",25,143,"Norwalk","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",91414,91639,NA,NA,"","Norwalk","CT","Northeast","New England",91639
"Novi, MI","Novi",0,2,0,2,1,45,6,2023,2,"MI",4,52,"Novi","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,66482,NA,NA,"","Novi","MI","Midwest","East North Central",66482
"O'Fallon, MO","O'Fallon",0,2,1,5,2,81,4,2017,1,"MO",8,87,"O'Fallon","https://showmecrime.mo.gov/","State UCR","Open Source",95689,94702,NA,NA,"","O'Fallon","MO","Midwest","West North Central",94702
"Oak Lawn, IL","Oak Lawn",0,1,2,6,5,61,0,2018,1,"IL",9,66,"Oak Lawn","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",55368,55368,NA,NA,"Inferred Jan 2021 counts from annual average","Oak Lawn","IL","Midwest","East North Central",55368
"Oceanside, CA","Oceanside",1,5,11,35,64,298,49,2018,1,"CA",52,411,"Oceanside","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",171844,171348,NA,NA,"","Oceanside","CA","West","Pacific",171348
"Odessa, TX","Odessa",1,4,10,43,45,201,14,2017,1,"TX",58,260,"Odessa","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110163,111922,NA,NA,"","Odessa","TX","South","West South Central",111922
"Omaha, NE","Omaha",2,15,21,83,96,849,256,2024,1,"NE",121,1201,"Omaha","https://police.cityofomaha.org/opd-crime-statistics","Agency Aggregated","Open Source",483462,481471,NA,NA,"","Omaha","NE","Midwest","West North Central",481471
"Oshkosh, WI","Oshkosh",0,1,4,11,13,77,5,2017,1,"WI",16,95,"Oshkosh","https://www.oshkoshpd.com/MonthlyCrimeStats/Default.aspx","Agency Aggregated","Open Source",66521,65548,NA,NA,"","Oshkosh","WI","Midwest","East North Central",65548
"Palatine, IL","Palatine",0,0,1,1,5,54,2,2017,5,"IL",2,61,"Palatine","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",64407,64407,NA,NA,"Inferred Jan-Mar 2021 counts from annual average","Palatine","IL","Midwest","East North Central",64407
"Parker, CO","Parker",0,0,1,7,9,105,17,2023,10,"CO",8,131,"Parker","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",61865,62431,NA,NA,"","Parker","CO","West","Mountain",62431
"Parma, OH","Parma",0,6,5,9,3,35,10,2024,4,"OH",20,48,"Parma","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",79098,78913,NA,NA,"","Parma","OH","Midwest","East North Central",78913
"Pasadena, TX","Pasadena",0,6,16,39,55,247,35,2017,1,"TX",61,337,"Pasadena","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",145954,145850,NA,NA,"","Pasadena","TX","South","West South Central",145850
"Pawtucket, RI","Pawtucket",0,1,2,23,41,104,12,2017,1,"RI",26,157,"Pawtucket","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74967,75100,NA,NA,"","Pawtucket","RI","Northeast","New England",75100
"Pearland, TX","Pearland",1,3,1,9,26,158,8,2017,1,"TX",14,192,"Pearland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125894,127433,NA,NA,"","Pearland","TX","South","West South Central",127433
"Peoria, AZ","Peoria",1,5,5,17,56,221,20,2018,1,"AZ",28,297,"Peoria","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",197894,200886,NA,NA,"","Peoria","AZ","West","Mountain",200886
"Pflugerville, TX","Pflugerville",0,4,2,5,10,79,2,2017,1,"TX",11,91,"Pflugerville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",67817,65599,NA,NA,"","Pflugerville","TX","South","West South Central",65599
"Pharr, TX","Pharr",0,2,8,6,21,106,1,2017,1,"TX",16,128,"Pharr","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79558,80359,NA,NA,"","Pharr","TX","South","West South Central",80359
"Philadelphia, PA","Philadelphia",24,89,409,561,514,2584,388,2017,3,"PA",1083,3486,"Philadelphia","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",1555812,1550843,NA,NA,"","Philadelphia","PA","Northeast","Middle Atlantic",1550843
"Phoenix, AZ","Phoenix",6,106,240,350,1008,2827,591,2017,1,"AZ",702,4426,"Phoenix","https://www.phoenixopendata.com/dataset/crime-data/resource/0ce3411a-2fc6-4302-a33f-167f68608a20","Agency RMS","Open Source",1637902,1660686,NA,NA,"","Phoenix","AZ","West","Mountain",1660686
"Plano, TX","Plano",1,9,9,20,59,363,37,2017,1,"TX",39,459,"Plano","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",289847,291140,NA,NA,"","Plano","TX","South","West South Central",291140
"Plymouth, MA","Plymouth",0,1,0,15,5,35,0,2022,1,"MA",16,40,"Plymouth","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",65779,68771,NA,NA,"","Plymouth","MA","Northeast","New England",68771
"Plymouth, MN","Plymouth",0,0,0,2,10,48,11,2023,1,"MN",2,69,"Plymouth","https://cde.state.mn.us/","State UCR","Open Source",78585,77576,NA,NA,"","Plymouth","MN","Midwest","West North Central",77576
"Pocatello, ID","Pocatello",0,1,1,16,32,75,10,2017,1,"ID",18,117,"Pocatello","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57914,58390,NA,NA,"","Pocatello","ID","West","Mountain",58390
"Port Arthur, TX","Port Arthur",1,0,11,20,51,95,15,2017,1,"TX",32,161,"Port Arthur","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55899,55371,NA,NA,"","Port Arthur","TX","South","West South Central",55371
"Portland, OR","Portland",0,21,77,121,321,1502,670,2017,1,"OR",219,2493,"Portland","https://public.tableau.com/app/profile/portlandpolicebureau/viz/New_Monthly_Neighborhood/MonthlyOffenseTotals","Agency RMS","Open Source",630129,626146,NA,NA,"","Portland","OR","West","Pacific",626146
"Portsmouth, VA","Portsmouth",1,1,22,54,81,309,34,2018,12,"VA",78,424,"Portsmouth","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",98003,96649,NA,NA,"","Portsmouth","VA","South","South Atlantic",96649
"Prescott Valley, AZ","Prescott Valley",0,0,0,12,2,36,1,2023,2,"AZ",12,39,"Prescott Valley","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",50166,50166,NA,NA,"","Prescott Valley","AZ","West","Mountain",50166
"Quincy, MA","Quincy",0,0,1,22,16,69,3,2022,11,"MA",23,88,"Quincy","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",101434,102465,NA,NA,"","Quincy","MA","Northeast","New England",102465
"Raleigh, NC","Raleigh",0,12,45,60,191,680,69,2017,1,"NC",117,940,"Raleigh","https://data-ral.opendata.arcgis.com/datasets/ral::raleigh-police-incidents-nibrs/explore","Agency RMS","Open Source",470829,482842,NA,NA,"","Raleigh","NC","South","South Atlantic",482842
"Rapid City, SD","Rapid City",3,6,5,23,22,179,29,2017,1,"SD",37,230,"Rapid City","https://sdcrime.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",78063,80850,NA,NA,"","Rapid City","SD","Midwest","West North Central",80850
"Reading, PA","Reading",1,4,12,18,16,75,6,2023,2,"PA",35,97,"Reading","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",97698,97790,NA,NA,"","Reading","PA","Northeast","Middle Atlantic",97790
"Redlands, CA","Redlands",0,3,4,12,45,164,21,2017,1,"CA",19,230,"Redlands","https://www.cityofredlands.org/police","Agency Aggregated","Provided by Agency",73554,74147,NA,NA,"","Redlands","CA","West","Pacific",74147
"Revere, MA","Revere",0,4,2,13,6,39,5,2018,2,"MA",19,50,"Revere","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",56961,57132,NA,NA,"","Revere","MA","Northeast","New England",57132
"Richardson, TX","Richardson",0,4,8,4,36,125,20,2017,1,"TX",16,181,"Richardson","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",115771,119008,NA,NA,"","Richardson","TX","South","West South Central",119008
"Richmond, CA","Richmond",1,6,35,58,63,214,122,2017,1,"CA",100,399,"Richmond","https://www.ci.richmond.ca.us/4010/Crime-Statistics-Reports","Agency Aggregated","Open Source",115043,113282,NA,NA,"","Richmond","CA","West","Pacific",113282
"Richmond, VA","Richmond",9,3,47,54,146,527,119,2017,1,"VA",113,792,"Richmond","https://apps.richmondgov.com/applications/CrimeInfo","Agency RMS","Open Source",227323,230789,NA,NA,"","Richmond","VA","South","South Atlantic",230789
"Riverside, CA","Riverside",0,NA,53,78,165,611,166,2017,1,"CA",131,942,"Riverside","https://www.riversideca.gov/transparency/data/dataset/show/27","Agency RMS","Open Source",319889,323473,NA,NA,"","Riverside","CA","West","Pacific",323473
"Roanoke, VA","Roanoke",3,4,15,20,42,261,23,2018,1,"VA",42,326,"Roanoke","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",98204,96925,NA,NA,"","Roanoke","VA","South","South Atlantic",96925
"Rochester, MN","Rochester",0,4,2,8,9,115,5,2023,1,"MN",14,129,"Rochester","https://cde.state.mn.us/","State UCR","Open Source",121534,122035,NA,NA,"","Rochester","MN","Midwest","West North Central",122035
"Rochester, NY","Rochester",0,NA,70,39,97,463,38,2017,1,"NY",109,598,"Rochester","https://data-rpdny.opendata.arcgis.com/datasets/rpdny::rpd-part-i-crime-2011-to-present/explore","Agency RMS","Open Source",210270,208452,NA,NA,"","Rochester","NY","Northeast","Middle Atlantic",208452
"Rockford, IL","Rockford",0,14,21,86,53,276,34,2020,1,"IL",121,363,"Rockford","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",146710,145873,NA,NA,"","Rockford","IL","Midwest","East North Central",145873
"Rockwall, TX","Rockwall",0,6,0,4,5,59,8,2017,1,"TX",10,72,"Rockwall","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",51724,53433,NA,NA,"","Rockwall","TX","South","West South Central",53433
"Round Rock, TX","Round Rock",0,2,4,4,15,215,1,2017,1,"TX",10,231,"Round Rock","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",127349,129898,NA,NA,"","Round Rock","TX","South","West South Central",129898
"Rowlett, TX","Rowlett",0,0,3,3,5,58,3,2017,1,"TX",6,66,"Rowlett","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",65196,66671,NA,NA,"","Rowlett","TX","South","West South Central",66671
"Royal Oak, MI","Royal Oak",0,0,1,2,2,35,5,2017,1,"MI",3,42,"Royal Oak","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,57233,NA,NA,"","Royal Oak","MI","Midwest","East North Central",57233
"Salem, OR","Salem",1,7,8,45,59,351,60,2024,3,"OR",61,470,"Salem","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",179661,178276,NA,NA,"","Salem","OR","West","Pacific",178276
"Salt Lake City, UT","Salt Lake City",0,17,39,45,127,1035,173,2017,1,"UT",101,1335,"Salt Lake City","https://slcpd.com/open-data/crimestatistics/","Agency Aggregated","Open Source",201373,206692,NA,NA,"","Salt Lake City","UT","West","Mountain",206692
"San Angelo, TX","San Angelo",0,8,10,13,75,279,24,2017,1,"TX",31,378,"San Angelo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",99243,98642,NA,NA,"","San Angelo","TX","South","West South Central",98642
"San Antonio, TX","San Antonio",15,NA,228,643,1171,5106,690,2017,1,"TX",886,6967,"San Antonio","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",1465608,1490047,NA,NA,"","San Antonio","TX","South","West South Central",1490047
"San Diego, CA","San Diego",3,19,78,280,181,1053,371,2024,1,"CA",380,1605,"San Diego","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",1377838,1378349,NA,NA,"","San Diego","CA","West","Pacific",1378349
"San Francisco, CA","San Francisco",6,45,241,232,433,3666,409,2017,1,"CA",524,4508,"San Francisco","https://www.sanfranciscopolice.org/stay-safe/crime-data/crime-reports","Agency Aggregated","Open Source",764693,782846,NA,NA,"","San Francisco","CA","West","Pacific",782846
"San Jose, CA","San Jose",4,50,101,157,373,1194,877,2017,1,"CA",312,2444,"San Jose","https://www.sjpd.org/records/crime-stats-maps/police-dashboards","Agency Aggregated","Open Source",956814,952530,NA,NA,"","San Jose","CA","West","Pacific",952530
"San Marcos, TX","San Marcos",0,6,7,7,26,128,17,2017,1,"TX",20,171,"San Marcos","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",69470,71413,NA,NA,"","San Marcos","TX","South","West South Central",71413
"Schaumburg, IL","Schaumburg",0,1,2,0,7,124,11,2024,3,"IL",3,142,"Schaumburg","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",75745,75140,NA,NA,"Inferred Jan-Mar 2021 from annual average","Schaumburg","IL","Midwest","East North Central",75140
"Scottsdale, AZ","Scottsdale",0,10,11,14,53,351,25,2018,4,"AZ",35,429,"Scottsdale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",243576,243644,NA,NA,"","Scottsdale","AZ","West","Mountain",243644
"Scranton, PA","Scranton",0,9,7,12,13,103,7,2022,3,"PA",28,123,"Scranton","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",75798,75687,NA,NA,"","Scranton","PA","Northeast","Middle Atlantic",75687
"Seattle, WA","Seattle",2,33,114,181,673,2312,310,2017,1,"WA",330,3295,"Seattle","https://www.seattle.gov/police/information-and-data/data/crime-dashboard","Agency Aggregated","Open Source",729691,753786,NA,NA,"","Seattle","WA","West","Pacific",753786
"Skokie, IL","Skokie",0,0,8,6,19,83,8,2017,4,"IL",14,110,"Skokie","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",65185,64417,NA,NA,"","Skokie","IL","Midwest","East North Central",64417
"Somerville, MA","Somerville",0,2,0,10,1,5,1,2021,5,"MA",12,7,"Somerville","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",79178,79513,NA,NA,"","Somerville","MA","Northeast","New England",79513
"South Bend, IN","South Bend",0,5,42,29,126,248,52,2017,1,"IN",76,426,"South Bend","https://southbendin.gov/transparency-and-performance/police-transparency-hub/particrimes/","Agency Aggregated","Open Source",103179,102999,NA,NA,"Inferred Apr-Nov 2021 from annual state total","South Bend","IN","Midwest","East North Central",102999
"Southaven, MS","Southaven",3,2,4,2,22,126,3,2017,1,"MS",11,151,"Southaven","https://mscrimestats.dps.ms.gov/public/View/dispview.aspx","State UCR","Open Source",56092,57135,NA,NA,"","Southaven","MS","South","East South Central",57135
"Southfield, MI","Southfield",0,3,5,26,18,87,74,2023,9,"MI",34,179,"Southfield","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,74960,NA,NA,"","Southfield","MI","Midwest","East North Central",74960
"Sparks, NV","Sparks",0,3,3,23,26,58,13,2020,4,"NV",29,97,"Sparks","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",110475,109403,NA,NA,"","Sparks","NV","West","Mountain",109403
"Spokane, WA","Spokane",1,17,35,80,190,851,167,2017,1,"WA",133,1208,"Spokane","https://my.spokanecity.org/police/","Agency RMS","Provided by Agency",230648,230648,NA,NA,"","Spokane","WA","West","Pacific",230648
"Springfield, IL","Springfield",2,8,22,61,84,237,20,2017,3,"IL",93,341,"Springfield","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",112549,112781,NA,NA,"","Springfield","IL","Midwest","East North Central",112781
"Springfield, MO","Springfield",2,26,48,99,179,912,180,2017,1,"MO",175,1271,"Springfield","https://showmecrime.mo.gov/","State UCR","Open Source",169822,170521,NA,NA,"","Springfield","MO","Midwest","West North Central",170521
"Springfield, OH","Springfield",0,4,12,77,47,128,33,2024,4,"OH",93,208,"Springfield","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",58725,57866,NA,NA,"","Springfield","OH","Midwest","East North Central",57866
"Springfield, OR","Springfield",0,1,1,8,16,106,8,2024,3,"OR",10,130,"Springfield","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",62217,61185,NA,NA,"","Springfield","OR","West","Pacific",61185
"St Charles, MO","St Charles",0,4,0,6,50,123,13,2017,1,"MO",10,186,"St Charles","https://showmecrime.mo.gov/","State UCR","Open Source",71079,71408,NA,NA,"","St. Charles","MO","Midwest","West North Central",71408
"St Joseph, MO","St Joseph",0,5,11,16,41,290,65,2017,1,"MO",32,396,"St Joseph","https://showmecrime.mo.gov/","State UCR","Open Source",70918,69925,NA,NA,"","St. Joseph","MO","Midwest","West North Central",69925
"St Louis, MO","St Louis",16,22,144,268,288,1000,247,2017,1,"MO",450,1535,"St Louis","https://showmecrime.mo.gov/","State UCR","Open Source",286053,280108,NA,NA,"","St. Louis","MO","Midwest","West North Central",280108
"St Peters, MO","St Peters",0,2,0,5,8,97,1,2017,1,"MO",7,106,"St Peters","https://showmecrime.mo.gov/","State UCR","Open Source",58584,58937,NA,NA,"","St. Peters","MO","Midwest","West North Central",58937
"St. Clair Shores, MI","St. Clair Shores",0,2,3,3,4,30,5,2021,4,"MI",8,39,"St. Clair Shores","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,57257,NA,NA,"","St. Clair Shores","MI","Midwest","East North Central",57257
"St. Cloud, MN","St. Cloud",0,5,4,13,21,228,25,2020,7,"MN",22,274,"St. Cloud","https://cde.state.mn.us/","State UCR","Open Source",68925,69922,NA,NA,"","St. Cloud","MN","Midwest","West North Central",69922
"St. Paul, MN","St. Paul",1,17,46,77,136,443,170,2019,3,"MN",141,749,"St. Paul","https://cde.state.mn.us/","State UCR","Open Source",277533,300368,NA,NA,"","St. Paul","MN","Midwest","West North Central",300368
"Stamford, CT","Stamford",0,0,8,4,21,145,15,2021,3,"CT",12,181,"Stamford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",136936,136512,NA,NA,"","Stamford","CT","Northeast","New England",136512
"State College, PA","State College",0,3,0,4,2,34,0,2022,2,"PA",7,36,"State College","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",55998,58532,NA,NA,"","State College","PA","Northeast","Middle Atlantic",58532
"Sterling Heights, MI","Sterling Heights",0,2,3,14,11,81,25,2020,11,"MI",19,117,"Sterling Heights","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,131801,NA,NA,"","Sterling Heights","MI","Midwest","East North Central",131801
"Stockton, CA","Stockton",0,7,73,222,201,622,192,2017,1,"CA",302,1015,"Stockton","https://www.stocktonca.gov/services/police_department/police_news___information/statistical_reports.php#outer-629","Agency Aggregated","Open Source",323501,322220,NA,NA,"Inferred Jan-Feb 2021 from annual state total","Stockton","CA","West","Pacific",322220
"Stratford, CT","Stratford",0,0,3,0,9,69,19,2020,1,"CT",3,97,"Stratford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",52320,52596,NA,NA,"","Stratford","CT","Northeast","New England",52596
"Suffolk, VA","Suffolk",0,1,7,18,5,120,13,2022,2,"VA",26,138,"Suffolk","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",98065,100598,NA,NA,"","Suffolk","VA","South","South Atlantic",100598
"Sugar Land, TX","Sugar Land",0,0,2,1,17,97,6,2017,1,"TX",3,120,"Sugar Land","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",107989,108718,NA,NA,"","Sugar Land","TX","South","West South Central",108718
"Surprise, AZ","Surprise",0,4,1,6,13,119,11,2021,2,"AZ",11,143,"Surprise","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",154128,159346,NA,NA,"","Surprise","AZ","West","Mountain",159346
"Tacoma, WA","Tacoma",3,NA,30,87,169,799,210,2017,1,"WA",120,1178,"Tacoma","https://public.tableau.com/app/profile/city.of.tacoma/viz/TacomaPoliceCrimeDashboard/CrimeDashboard-IntroPage","Agency Aggregated","Open Source",219027,222828,NA,NA,"","Tacoma","WA","West","Pacific",222828
"Taunton, MA","Taunton",0,3,8,18,13,21,2,2018,5,"MA",29,36,"Taunton","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",60062,60356,NA,NA,"","Taunton","MA","Northeast","New England",60356
"Taylor, MI","Taylor",0,4,5,14,14,80,20,2021,1,"MI",23,114,"Taylor","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,61781,NA,NA,"","Taylor","MI","Midwest","East North Central",61781
"Tempe, AZ","Tempe",0,15,13,53,69,528,49,2017,2,"AZ",81,646,"Tempe","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",187473,188144,NA,NA,"","Tempe","AZ","West","Mountain",188144
"Temple, TX","Temple",0,4,4,9,38,133,17,2017,1,"TX",17,188,"Temple","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",88484,93073,NA,NA,"","Temple","TX","South","West South Central",93073
"Texas City, TX","Texas City",0,1,10,11,30,132,4,2017,1,"TX",22,166,"Texas City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",56311,57448,NA,NA,"","Texas City","TX","South","West South Central",57448
"Thornton, CO","Thornton",0,12,8,12,37,311,55,2018,5,"CO",32,403,"Thornton","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",143055,143838,NA,NA,"","Thornton","CO","West","Mountain",143838
"Tigard, OR","Tigard",0,2,4,11,19,111,14,2023,7,"OR",17,144,"Tigard","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",56550,56142,NA,NA,"","Tigard","OR","West","Pacific",56142
"Tinley Park, IL","Tinley Park",0,2,1,0,2,37,11,2023,1,"IL",3,50,"Tinley Park","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53973,53528,NA,NA,"","Tinley Park","IL","Midwest","East North Central",53528
"Tracy, CA","Tracy",0,2,7,8,31,166,34,2017,1,"CA",17,231,"Tracy","https://tracypd.com/crime-mapping","Agency Aggregated","Open Source",97219,99347,NA,NA,"","Tracy","CA","West","Pacific",99347
"Troy, MI","Troy",0,0,1,1,7,69,5,2017,2,"MI",2,81,"Troy","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,87265,NA,NA,"","Troy","MI","Midwest","East North Central",87265
"Tucson, AZ","Tucson",3,48,124,185,399,1671,141,2017,1,"AZ",360,2211,"Tucson","https://app.powerbigov.us/view?r=eyJrIjoiY2ViZmNiYzAtMDQ5ZC00OTMwLTliMTgtYjM1ZjAwYjJlMTkzIiwidCI6ImQyMWU1OWVjLWMyMDgtNDNlYi1hYWYxLWNmMDZkOWExOTZlMCJ9&pageName=ReportSectionccd6be2a1a0db780dadd","Agency Aggregated","Open Source",544629,548544,NA,NA,"","Tucson","AZ","West","Mountain",548544
"Twin Falls, ID","Twin Falls",0,2,1,15,19,80,3,2019,8,"ID",18,102,"Twin Falls","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",54648,55447,NA,NA,"","Twin Falls","ID","West","Mountain",55447
"Tyler, TX","Tyler",0,9,3,32,51,228,15,2017,1,"TX",44,294,"Tyler","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108422,110824,NA,NA,"","Tyler","TX","South","West South Central",110824
"Upper Darby, PA","Upper Darby",1,0,7,4,9,97,15,2022,2,"PA",12,121,"Upper Darby","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",84407,84468,NA,NA,"","Upper Darby Township","PA","Northeast","Middle Atlantic",84468
